Date,Value
2016-09-30,1.764
2016-08-31,1.585
2016-07-31,1.729
2016-06-30,1.721
2016-05-31,1.72
2016-04-30,1.766
2016-03-31,1.655
2016-02-29,1.775
2016-01-31,1.736
2015-12-31,1.733
2015-11-30,1.784
2015-10-31,1.8
2015-09-30,1.809
2015-08-31,1.732
2015-07-31,1.66
2015-06-30,1.772
2015-05-31,1.821
2015-04-30,1.824
2015-03-31,1.812
2015-02-28,1.786
2015-01-31,1.847
2014-12-31,1.883
2014-11-30,1.851
2014-10-31,1.829
2014-09-30,1.724
2014-08-31,1.774
2014-07-31,1.631
2014-06-30,1.653
2014-05-31,1.658
2014-04-30,1.68
2014-03-31,1.702
2014-02-28,1.614
2014-01-31,1.705
2013-12-31,1.636
2013-11-30,1.65
2013-10-31,1.745
2013-09-30,1.681
2013-08-31,1.678
2013-07-31,1.689
2013-06-30,1.81
2013-05-31,1.698
2013-04-30,1.717
2013-03-31,1.677
2013-02-28,1.574
2013-01-31,1.564
2012-12-31,1.531
2012-11-30,1.526
2012-10-31,1.627
2012-09-30,1.565
2012-08-31,1.555
2012-07-31,1.692
2012-06-30,1.531
2012-05-31,1.545
2012-04-30,1.65
2012-03-31,1.611
2012-02-29,1.616
2012-01-31,1.593
2011-12-31,1.483
2011-11-30,1.437
2011-10-31,1.557
2011-09-30,1.483
2011-08-31,1.48
2011-07-31,1.528
2011-06-30,1.512
2011-05-31,1.439
2011-04-30,1.369
2011-03-31,1.361
2011-02-28,1.437
2011-01-31,1.397
2010-12-31,1.447
2010-11-30,1.429
2010-10-31,1.51
2010-09-30,1.504
2010-08-31,1.351
2010-07-31,1.478
2010-06-30,1.446
2010-05-31,1.455
2010-04-30,1.359
2010-03-31,1.35
2010-02-28,1.398
2010-01-31,1.383
2009-12-31,1.38
2009-11-30,1.381
2009-10-31,1.303
2009-09-30,1.261
2009-08-31,1.353
2009-07-31,1.379
2009-06-30,1.415
2009-05-31,1.425
2009-04-30,1.403
2009-03-31,1.397
2009-02-28,1.365
2009-01-31,1.415
2008-12-31,1.395
2008-11-30,1.445
2008-10-31,1.101
2008-09-30,1.068
2008-08-31,1.114
2008-07-31,1.077
2008-06-30,1.081
2008-05-31,1.082
2008-04-30,1.052
2008-03-31,1.065
2008-02-29,1.062
2008-01-31,1.039
2007-12-31,1.073
2007-11-30,1.029
2007-10-31,1.055
2007-09-30,1.054
2007-08-31,1.088
2007-07-31,1.092
2007-06-30,1.057
2007-05-31,1.058
2007-04-30,1.08
2007-03-31,0.942
2007-02-28,0.937
2007-01-31,0.974
2006-12-31,0.987
2006-11-30,0.981
2006-10-31,0.938
2006-09-30,0.981
2006-08-31,0.958
2006-07-31,0.981
2006-06-30,0.986
2006-05-31,0.973
2006-04-30,0.961
2006-03-31,0.97
2006-02-28,0.926
2006-01-31,0.967
2005-12-31,0.951
2005-11-30,0.996
2005-10-31,0.951
2005-09-30,0.996
2005-08-31,0.972
2005-07-31,1.041
2005-06-30,1.002
2005-05-31,1.015
2005-04-30,1.052
2005-03-31,0.97
2005-02-28,1.023
2005-01-31,1.031
2004-12-31,0.974
2004-11-30,1.013
2004-10-31,1.016
2004-09-30,1.003
2004-08-31,1.067
2004-07-31,1.022
2004-06-30,1.025
2004-05-31,1.007
2004-04-30,1.239
2004-03-31,1.279
2004-02-29,1.16
2004-01-31,1.231
2003-12-31,1.195
2003-11-30,1.273
2003-10-31,1.186
2003-09-30,1.176
2003-08-31,1.145
2003-07-31,1.047
2003-06-30,1.108
2003-05-31,1.057
2003-04-30,1.1
2003-03-31,1.031
2003-02-28,1.006
2003-01-31,0.981
2002-12-31,1.011
2002-11-30,1.077
2002-10-31,1.099
2002-09-30,1.096
2002-08-31,0.999
2002-07-31,1.07
2002-06-30,1.079
2002-05-31,1.086
2002-04-30,1.194
2002-03-31,1.192
2002-02-28,1.127
2002-01-31,1.158
2001-12-31,1.178
2001-11-30,1.215
2001-10-31,1.23
2001-09-30,1.127
2001-08-31,1.141
2001-07-31,1.103
2001-06-30,1.127
2001-05-31,1.119
2001-04-30,1.102
2001-03-31,1.135
2001-02-28,1.118
