Date,Value
2016-09-30,417000.0
2016-08-31,416600.0
2016-07-31,416500.0
2016-06-30,417900.0
2016-05-31,416300.0
2016-04-30,413900.0
2016-02-29,413700.0
2016-01-31,413000.0
2015-12-31,410900.0
2015-11-30,407400.0
2015-10-31,404400.0
2015-09-30,401500.0
2015-08-31,400600.0
2015-07-31,397700.0
2015-06-30,403200.0
2015-05-31,401600.0
2015-04-30,400000.0
2015-03-31,397400.0
2015-02-28,393100.0
2015-01-31,388600.0
2014-12-31,385400.0
2014-11-30,382800.0
2014-10-31,380500.0
2014-09-30,379300.0
2014-08-31,379100.0
2014-07-31,378900.0
2014-06-30,378900.0
2014-05-31,378700.0
2014-04-30,377800.0
2014-03-31,375500.0
2014-02-28,373600.0
2014-01-31,371400.0
2013-12-31,368300.0
2013-11-30,365900.0
2013-10-31,364300.0
2013-09-30,360900.0
2013-08-31,356200.0
2013-07-31,350000.0
2013-06-30,341600.0
2013-05-31,332800.0
2013-04-30,325500.0
2013-03-31,318900.0
2013-02-28,312900.0
2013-01-31,307600.0
2012-12-31,302500.0
2012-11-30,297000.0
2012-10-31,292000.0
2012-09-30,288900.0
2012-08-31,286600.0
2012-07-31,283900.0
2012-06-30,281300.0
2012-05-31,278600.0
2012-04-30,275500.0
2012-03-31,273200.0
2012-02-29,272800.0
2012-01-31,273600.0
2011-12-31,274700.0
2011-11-30,274600.0
2011-10-31,274300.0
2011-09-30,275300.0
2011-08-31,277300.0
2011-07-31,278900.0
2011-06-30,280300.0
2011-05-31,281900.0
2011-04-30,284000.0
2011-03-31,286400.0
2011-02-28,288100.0
2011-01-31,289300.0
2010-12-31,290600.0
2010-11-30,292800.0
2010-10-31,294800.0
2010-09-30,295700.0
2010-08-31,296000.0
2010-07-31,297100.0
2010-06-30,299100.0
2010-05-31,301600.0
2010-04-30,304200.0
2010-03-31,307700.0
2010-02-28,310600.0
2010-01-31,311900.0
2009-12-31,313400.0
2009-11-30,316200.0
2009-10-31,318400.0
2009-09-30,320300.0
2009-08-31,321800.0
2009-07-31,321800.0
2009-06-30,322400.0
2009-05-31,325700.0
2009-04-30,329800.0
2009-03-31,332700.0
2009-02-28,335700.0
2009-01-31,338500.0
2008-12-31,342600.0
2008-11-30,347600.0
2008-10-31,352800.0
2008-09-30,354700.0
2008-08-31,355000.0
2008-07-31,357800.0
2008-06-30,364000.0
2008-05-31,370000.0
2008-04-30,376300.0
2008-03-31,382400.0
2008-02-29,387700.0
2008-01-31,393700.0
2007-12-31,398100.0
2007-11-30,399600.0
2007-10-31,401400.0
2007-09-30,404200.0
2007-08-31,407700.0
2007-07-31,412400.0
2007-06-30,417400.0
2007-05-31,420400.0
2007-04-30,421300.0
2007-03-31,421900.0
2007-02-28,423400.0
2007-01-31,426000.0
2006-12-31,430700.0
2006-11-30,437900.0
2006-10-31,445700.0
2006-09-30,455000.0
2006-08-31,465400.0
2006-07-31,473700.0
2006-06-30,478000.0
2006-05-31,480500.0
2006-04-30,483000.0
2006-03-31,486900.0
2006-02-28,491300.0
2006-01-31,494300.0
2005-12-31,493400.0
2005-11-30,490100.0
2005-10-31,486200.0
2005-09-30,482300.0
2005-08-31,478200.0
